user_id,product_id,action
1,10217,view
1,10036,view
1,10046,view
1,10200,purchase
1,10243,view
1,10128,purchase
1,10242,view
1,10299,purchase
1,10130,view
2,10225,view
2,10229,view
2,10242,view
2,10121,view
2,10032,view
2,10279,view
2,10166,view
2,10124,purchase
2,10065,purchase
3,10049,view
3,10169,view
3,10266,view
3,10148,purchase
3,10222,view
3,10126,view
3,10289,view
3,10225,view
3,10246,view
4,10183,view
4,10011,view
4,10177,purchase
4,10090,view
4,10055,view
4,10273,view
4,10087,view
4,10047,purchase
4,10264,purchase
5,10066,view
5,10026,purchase
5,10137,view
5,10225,purchase
5,10105,view
5,10251,view
5,10217,view
5,10237,view
5,10072,view
6,10027,view
6,10213,view
6,10048,purchase
6,10176,view
6,10239,view
6,10116,view
6,10003,view
6,10217,view
6,10115,view
7,10297,view
7,10045,purchase
7,10281,purchase
7,10149,view
7,10164,view
7,10144,purchase
7,10041,purchase
7,10114,view
7,10234,purchase
8,10190,view
8,10062,purchase
8,10140,purchase
8,10127,view
8,10205,view
8,10083,view
8,10208,view
8,10242,view
8,10046,view
9,10213,view
9,10250,purchase
9,10092,view
9,10078,view
9,10099,purchase
9,10071,purchase
9,10248,purchase
9,10051,purchase
9,10087,purchase
10,10133,view
10,10012,purchase
10,10145,view
10,10110,view
10,10244,view
10,10243,view
10,10061,view
10,10259,view
10,10137,view
11,10188,view
11,10180,purchase
11,10020,view
11,10159,view
11,10280,purchase
11,10000,purchase
11,10110,view
11,10097,view
11,10041,view
12,10019,view
12,10246,purchase
12,10037,view
12,10011,purchase
12,10108,purchase
12,10094,purchase
12,10010,view
12,10282,view
12,10016,purchase
13,10200,purchase
13,10044,view
13,10260,view
13,10292,purchase
13,10077,view
13,10128,view
13,10027,purchase
13,10102,purchase
13,10026,purchase
14,10031,view
14,10146,purchase
14,10211,purchase
14,10115,view
14,10030,view
14,10118,purchase
14,10028,purchase
14,10152,purchase
14,10039,purchase
15,10064,view
15,10040,purchase
15,10000,purchase
15,10201,purchase
15,10049,view
15,10199,view
15,10003,view
15,10050,view
15,10161,purchase
16,10139,purchase
16,10052,purchase
16,10019,purchase
16,10154,view
16,10177,view
16,10297,view
16,10156,purchase
16,10017,view
16,10077,view
17,10148,purchase
17,10266,purchase
17,10169,purchase
17,10062,view
17,10129,view
17,10287,purchase
17,10077,purchase
17,10250,view
17,10032,view
18,10277,view
18,10278,view
18,10001,view
18,10050,purchase
18,10009,purchase
18,10153,purchase
18,10123,purchase
18,10128,view
18,10293,view
19,10071,view
19,10050,view
19,10098,purchase
19,10250,purchase
19,10294,view
19,10057,view
19,10261,view
19,10029,purchase
19,10180,view
20,10137,view
20,10032,view
20,10160,view
20,10101,view
20,10271,view
20,10105,purchase
20,10102,view
20,10025,purchase
20,10172,purchase
21,10118,view
21,10228,view
21,10179,view
21,10237,view
21,10107,view
21,10264,purchase
21,10263,view
21,10275,purchase
21,10082,purchase
22,10003,view
22,10112,view
22,10296,view
22,10268,purchase
22,10229,view
22,10135,view
22,10265,view
22,10232,view
22,10228,view
23,10281,view
23,10139,view
23,10039,purchase
23,10021,view
23,10097,purchase
23,10215,view
23,10122,purchase
23,10212,view
23,10270,purchase
24,10265,view
24,10095,view
24,10017,view
24,10213,view
24,10192,view
24,10015,purchase
24,10141,purchase
24,10206,view
24,10046,view
25,10155,view
25,10093,view
25,10080,view
25,10032,view
25,10069,view
25,10054,view
25,10244,view
25,10241,view
25,10180,view
26,10186,view
26,10078,view
26,10259,view
26,10047,purchase
26,10116,view
26,10067,purchase
26,10148,purchase
26,10091,purchase
26,10272,view
27,10047,view
27,10269,purchase
27,10277,view
27,10071,purchase
27,10028,view
27,10022,view
27,10222,view
27,10087,view
27,10120,view
28,10277,view
28,10116,view
28,10187,view
28,10253,view
28,10286,view
28,10050,view
28,10035,view
28,10148,view
28,10037,view
29,10195,view
29,10188,view
29,10288,view
29,10190,view
29,10024,purchase
29,10173,view
29,10192,view
29,10078,view
29,10296,view
30,10051,view
30,10016,view
30,10160,view
30,10026,view
30,10066,purchase
30,10209,view
30,10134,view
30,10258,view
30,10226,view
31,10104,purchase
31,10128,view
31,10293,view
31,10217,view
31,10077,purchase
31,10013,view
31,10213,view
31,10214,view
31,10082,view
32,10135,purchase
32,10054,view
32,10150,view
32,10069,purchase
32,10227,view
32,10198,view
32,10077,purchase
32,10193,view
32,10252,view
33,10292,view
33,10238,view
33,10156,view
33,10189,view
33,10124,view
33,10104,purchase
33,10009,view
33,10105,purchase
33,10206,view
34,10066,purchase
34,10043,view
34,10081,view
34,10229,purchase
34,10290,view
34,10093,view
34,10166,view
34,10256,view
34,10247,view
35,10210,purchase
35,10109,purchase
35,10283,view
35,10255,purchase
35,10242,purchase
35,10121,view
35,10286,purchase
35,10183,view
35,10009,view
36,10186,view
36,10067,view
36,10038,purchase
36,10158,view
36,10009,view
36,10022,view
36,10019,purchase
36,10083,view
36,10190,view
37,10162,view
37,10096,purchase
37,10156,view
37,10030,view
37,10006,view
37,10076,purchase
37,10204,purchase
37,10247,view
37,10048,purchase
38,10060,purchase
38,10162,view
38,10145,purchase
38,10156,view
38,10074,view
38,10086,purchase
38,10254,purchase
38,10152,purchase
38,10274,purchase
39,10168,view
39,10113,purchase
39,10096,purchase
39,10182,view
39,10146,purchase
39,10138,view
39,10042,view
39,10057,purchase
39,10253,view
40,10283,view
40,10223,purchase
40,10080,view
40,10225,view
40,10209,view
40,10043,view
40,10293,view
40,10156,purchase
40,10041,view
41,10157,view
41,10217,view
41,10004,purchase
41,10123,view
41,10110,view
41,10118,view
41,10242,view
41,10023,purchase
41,10122,view
42,10066,view
42,10150,purchase
42,10181,purchase
42,10135,purchase
42,10121,view
42,10204,view
42,10118,view
42,10029,view
42,10260,view
43,10117,view
43,10005,view
43,10125,purchase
43,10102,view
43,10035,purchase
43,10020,view
43,10105,view
43,10052,purchase
43,10286,purchase
44,10289,view
44,10153,view
44,10245,view
44,10008,view
44,10099,view
44,10226,view
44,10061,view
44,10191,view
44,10283,purchase
45,10233,view
45,10231,purchase
45,10108,purchase
45,10274,view
45,10143,view
45,10144,view
45,10070,view
45,10027,view
45,10013,view
46,10024,view
46,10117,view
46,10249,view
46,10194,purchase
46,10188,view
46,10180,view
46,10155,view
46,10061,view
46,10030,view
47,10193,view
47,10232,view
47,10235,view
47,10123,view
47,10046,view
47,10264,view
47,10136,view
47,10059,view
47,10130,view
48,10048,view
48,10269,view
48,10057,purchase
48,10192,view
48,10015,purchase
48,10028,view
48,10234,purchase
48,10217,view
48,10207,purchase
49,10015,view
49,10269,purchase
49,10092,view
49,10265,view
49,10176,view
49,10098,view
49,10169,view
49,10212,purchase
49,10275,view
50,10175,view
50,10192,view
50,10176,view
50,10263,view
50,10289,view
50,10239,view
50,10195,view
50,10054,view
50,10043,view
51,10239,view
51,10099,purchase
51,10041,view
51,10265,view
51,10224,view
51,10028,purchase
51,10266,view
51,10188,purchase
51,10090,view
52,10128,view
52,10244,purchase
52,10219,purchase
